R,G,B,L
1152,804.4,803.53,2
1152.37,804.43,803.57,2
1152.9,804.83,803.93,2
1152.13,804.23,803.37,2
1152.57,804.47,803.63,2
1152.2,804.2,803.33,2
1152.43,804.37,803.3,2
1152.3,804.43,803.23,2
1152.2,804.23,803.07,2
1152.1,804.2,803.17,2
1497.67,1034.47,993.27,2
1497.73,1034.43,993.4,2
1497.53,1034.33,993.37,2
1497.57,1034.4,993.47,2
1496.83,1034.07,993.17,2
1495.97,1033.23,992.5,2
1496.4,1033.67,992.93,2
1499.03,1035.3,994.23,2
1498.53,1034.83,993.9,2
1713.13,1190.7,1098.53,2
1714.3,1191.33,1099.13,2
1713.67,1190.87,1098.73,2
1712.5,1190.23,1098.1,2
1712.87,1190.4,1098.53,2
1713.7,1191.1,1099.13,2
1716.53,1193.03,1100.93,2
1716.57,1193,1100.97,2
1715.87,1192.33,1100.47,2
1715.07,1192,1100.03,2
1715.3,1192.03,1100.17,2
1324.37,993.63,947.63,2
1324.67,993.7,947.67,2
1323.73,992.77,946.83,2
1325.2,993.8,947.7,2
1322.9,992.07,946.27,2
1323.93,992.9,946.9,2
1323.3,992.27,946.4,2
1324.73,993.3,947.47,2
1323.9,992.47,946.73,2
1324.83,993.27,947.53,2
1324.83,993.2,947.33,2
1325.23,993.57,947.63,2
1327,994.9,948.83,2
1328.03,995.47,949.57,2
1328.27,995.73,949.97,2
1329.37,996.67,950.67,2
1328.1,995.63,949.93,2
1328.8,996.1,950.23,2
1328.47,995.83,950.1,2
1328.6,996.07,950.3,2
1329.93,996.93,951.07,2
1329.3,996.43,950.77,2
1330.03,996.83,951,2
1329.07,996.27,950.43,2
