R,G,B,L
321.57,285.47,295.13,1
430.6,370.07,375.5,1
430.3,369.67,375.03,1
437.53,371.73,375.8,1
422.73,363.1,371,1
416.5,367.03,377.33,1
421.93,367.37,375.2,1
428.87,370.53,376.23,1
532.6,514.8,537.5,1
534.57,517.5,538.73,1
564.73,547.27,566.47,1
595.73,577.87,596,1
596.9,579.23,597.27,1
598.37,580.7,598.7,1
599.1,581.37,599.43,1
599.4,581.7,599.87,1
599.9,582.4,600.27,1
601,583.33,601.47,1
602,584.4,602.4,1
602.5,585,603.1,1
603.3,585.9,603.97,1
604,586.63,604.63,1
604.37,586.97,605.2,1
604.63,587.47,605.47,1
604.9,587.53,605.6,1
605.13,587.97,605.87,1
605.7,588.53,606.63,1
606.27,589.23,607.33,1
606.57,589.53,607.67,1
633.93,529.97,526.67,1
618,522.03,520,1
599.73,512.6,512.5,1
567.27,495.2,498.2,1
571.83,497.67,500.27,1
571.2,497.37,500.1,1
572.23,497.93,500.87,1
681.73,540.33,536.7,1
681.4,540.5,536.93,1
681.23,540.67,537.23,1
680.57,540.43,537.17,1
679.73,540.27,536.83,1
680.17,540.63,537.43,1
2310.63,1263.83,1243.40,0
2310.30,1264.20,1243.83,0
2311.33,1265.27,1245.03,0
2311.43,1265.83,1245.67,0
2309.87,1265.63,1245.50,0
2311.33,1266.80,1246.80,0
2308.07,1265.80,1245.67,0
2307.40,1265.67,1245.73,0
2215.80,1253.67,1227.13,0
2217.70,1254.73,1228.27,0
2218.97,1255.60,1229.10,0
2221.80,1257.43,1230.73,0
2221.13,1257.37,1230.67,0
2215.80,1253.67,1227.13,0
2217.70,1254.73,1228.27,0
2218.97,1255.60,1229.10,0
2221.80,1257.43,1230.73,0
2221.13,1257.37,1230.67,0
2077.77,1221.03,1174.73,0
2075.43,1220.37,1174.20,0
2073.70,1219.70,1173.83,0
2076.20,1221.47,1175.40,0
2077.87,1222.93,1176.83,0
2077.17,1222.67,1176.73,0
960.27,784.40,748.33,0
960.50,784.73,748.53,0
961.60,785.67,749.40,0
961.10,784.87,748.63,0
960.67,784.57,748.07,0
949.93,780.07,744.90,0
1069.43,769.70,759.67,0
1052.77,717.17,715.93,0
1046.80,715.00,713.67,0
1044.87,714.50,713.13,0
1226.33,759.83,758.17,0
1725.27,990.93,974.97,0
1539.13,954.80,939.80,0
1403.97,904.97,888.70,0
1476.67,939.03,918.57,0
1481.83,939.43,919.13,0
1449.43,929.17,905.30,0
1444.87,927.30,903.60,0
1457.30,935.23,912.73,0
1429.93,929.17,906.53,0
1391.27,916.53,890.60,0
1381.37,914.50,888.37,0
1391.13,919.53,894.13,0
1384.73,917.00,885.87,0
1372.93,912.07,880.77,0
1363.20,907.70,876.97,0
1350.33,901.93,871.67,0
1344.73,899.43,870.13,0
1347.90,901.57,872.50,0
1420.70,932.80,901.73,0
1411.43,928.97,898.07,0
1352.87,907.60,875.77,0
1346.23,907.53,875.20,0
1339.40,914.33,878.50,0
1321.03,910.63,874.70,0
1348.30,923.57,884.80,0
1321.97,912.40,875.20,0
1320.90,907.43,874.83,0
1310.43,912.37,872.43,0
1239.07,887.80,843.07,0
1134.20,845.03,802.40,0



